Actual,RF_Predicted,LR_Predicted
494.0,224.27,234.5291574901512
150.0,203.11,223.23309505402904
150.0,156.22,168.37776898604534
141.0,154.39,218.50536968109373
269.0,149.55,212.66622841092612
475.0,171.89,141.77185858414123
336.0,220.74,186.12911303248438
100.0,226.0,239.47310048431245
291.0,214.16,228.4854582091939
306.0,287.34,288.37573928906386
182.0,108.4,202.5244694216326
214.0,134.25,129.9159756192821
113.0,124.33,213.53518096738298
178.0,220.77,277.439501933457
50.0,59.92,198.36806800342856
100.0,504.59,174.7228887459296
190.0,356.34,297.6729636644086
106.0,110.43,114.52450334869718
73.0,208.7,178.31364061917338
106.0,134.28,258.89387023788913
177.0,186.26,280.2039925145491
73.0,118.96,156.46169401342013
937.0,263.4,234.26201360140658
80.0,157.46,182.3745407910901
141.0,177.1,66.39619871868854
3985.0,533.1666666666666,295.5051640804795
56.0,74.55,218.2553862240311
295.0,221.66,160.80702536999706
211.0,186.59,204.2623861840475
74.0,261.94,220.6648466532988
50.0,63.88,209.37806851060304
109.0,138.88,262.99662982827795
395.0,311.12,289.7376700358509
140.0,172.82,130.1827984786978
200.0,241.53,176.45253755263002
72.0,134.7,154.8139239793636
450.0,156.71,252.22767778266098
221.0,204.44,287.64005988489043
220.0,252.94,228.08541289252207
69.0,112.17,81.09104863070388
144.0,143.89,184.38108837768414
259.0,198.79,180.04355368498545
404.0,309.05,259.88234233731055
313.0,354.12,221.85025664568457
51.0,93.4,173.28892095341325
174.0,414.76,235.92574192297798
47.0,79.55,61.85516374226063
166.0,240.61,242.67348313631555
226.0,1730.81,289.855267829249
172.0,193.56,199.62467353140346
135.0,349.86,240.96564223014684
37.0,44.88,227.58015025044187
225.0,129.32,230.97483932233627
299.0,433.4,274.5565754063573
284.0,331.42,235.73533074555053
329.0,294.67,234.95633809281026
86.0,84.28,220.12814098775743
132.0,142.92,137.10378434909762
204.0,1316.97,296.67063383313507
75.0,109.12,203.37975574079246
354.0,256.36,108.5511373074387
65.0,81.41,208.18612792556814
345.0,324.97,245.10575908263309
240.0,286.4,241.34517408121974
132.0,156.62,214.34707336355132
35.0,47.16,160.13040381235805
41.0,169.88,128.29336047903598
67.0,185.29,128.77755946699835
99.0,112.54,154.82160940338872
259.0,174.77,193.13232272877394
54.0,134.65,192.72196311917833
52.0,48.23,51.882102688814484
289.0,307.62,221.87459851325184
96.0,173.44,279.1172758208304
100.0,109.5,202.76845174261325
146.0,182.39190476190473,739.2847049955835
37.0,42.59,161.75401327538202
119.0,108.05,202.50107724877307
129.0,280.28,230.20514862031814
102.0,191.34,236.65575077705034
266.0,233.16,223.33492591835966
337.0,309.14,270.83736729202246
242.0,315.96,276.6150311546189
110.0,205.46,275.0430047031987
97.0,173.29,113.64818909689166
149.0,218.45,284.3312931749697
172.0,233.76,285.71760740005993
290.0,191.49,123.5165986265456
147.0,205.79,243.8947517698325
82.0,72.92,215.38423837120354
204.0,217.07,243.1209176986158
115.0,160.23,176.39831280247563
213.0,214.76,280.02791112965315
170.0,116.97,235.93982636306828
349.0,421.49,268.61796903151844
278.0,149.33,254.3692240827113
261.0,361.68,227.63476746441665
331.0,243.11,247.5863372305248
114.0,160.15,135.26376459242965
781.0,233.18,154.59046209130793
205.0,183.16,181.91243239398136
95.0,135.98,242.52506435864416
69.0,69.54,203.56601059548666
103.0,70.43,194.37961684587754
119.0,139.07,144.37611751206168
1270.0,849.22,275.25089073390336
239.0,219.38,170.28091017369843
186.0,398.17,281.19894949858826
385.0,373.72,254.00389275529415
76.0,68.45,141.38417323310932
128.0,317.76,226.60388806521223
94.0,153.3,192.84823618938208
106.0,217.92,228.8684957760397
122.0,245.77,211.95719190449745
134.0,233.15,234.7447683268074
70.0,64.23,166.05754386148328
176.0,219.97,221.7191430752482
359.0,375.79,278.1859301839595
156.0,145.83,185.8365015092877
54.0,114.33,152.72969068352722
63.0,148.0,111.4700681001359
121.0,400.48,782.2410801502283
89.0,180.48,155.69016326426208
173.0,230.68,166.76613985782024
276.0,253.38,280.8683018246029
53.0,58.52,193.84588357692155
694.0,302.84,290.0062121609517
225.0,222.96,287.0402334248429
224.0,194.93,272.03698571746827
229.0,276.41,212.56772872857618
109.0,136.67,248.9768985961291
135.0,180.96,270.71937878503013
506.0,264.1,214.6511227030078
198.0,227.85,205.65682342033324
141.0,321.82,283.2265129934749
392.0,281.24,284.97214935351076
64.0,137.08,78.19859903863835
51.0,70.6,207.8842752437231
112.0,161.8,207.31524570391412
80.0,276.58,247.25539130424295
296.0,227.33,91.27467749882089
297.0,372.26,279.4530782964921
129.0,179.65,103.08581802016124
224.0,286.11,277.74392151382017
180.0,217.0,238.6224229921554
55.0,59.88,160.78349225242164
149.0,163.01,229.67959802570113
126.0,92.5,117.74591979717479
374.0,301.59,280.8927116672403
539.0,370.2,236.68013670360415
997.0,217.59,281.1742874842348
48.0,73.96,196.2675454007549
52.0,87.78,164.6097333266207
521.0,406.28,266.21445476000736
60.0,62.39,198.28005760854103
31.0,37.83,103.9378850996327
283.0,381.63,295.8502566256557
510.0,242.54,215.52297138979338
60.0,60.68,168.51750028054812
225.0,306.87,274.9548522254099
199.0,206.73,213.81148249803664
76.0,181.82,212.7579401651201
115.0,239.71,212.20752649001406
216.0,212.93,245.70380634883804
226.0,252.11,220.3511042669761
527.0,281.61,273.62200213599135
165.0,181.89,281.5140325128941
80.0,94.7,235.86370716154306
1294.0,188.92,247.2500711241937
241.0,198.28,246.13227537733655
51.0,64.29,170.5131994299336
40.0,40.42,98.01233953580595
174.0,184.97,76.32228114452664
405.0,376.55,279.7558419577854
115.0,179.39,216.57488285069485
270.0,203.51,224.15536872568737
52.0,117.83,149.6727374791226
182.0,156.4,170.55702669478342
234.0,210.38,279.29198772093696
103.0,97.77,148.04243527708786
137.0,171.63,211.03420495154023
182.0,299.9,223.7121864813289
140.0,185.47,240.69967328040184
165.0,349.45,281.6867155281034
296.0,295.48,222.99125792157975
69.0,79.39,150.4199731908884
123.0,173.21,215.15459576085595
478.0,351.47,257.2971709330868
60.0,69.52,-173.93848205937138
90.0,320.19,157.21486118082794
109.0,138.65,238.5186344904123
106.0,238.05,290.56567531206747
756.0,361.3,210.19678239052155
60.0,99.28,143.59216081790692
159.0,199.27,221.0791032537545
166.0,196.19,152.23412198130063
439.0,187.67,259.3270727843137
112.0,175.58,224.00100458943052
155.0,349.88,294.1561129450092
131.0,133.14,236.47218361880368
136.0,331.94,238.55873317003534
558.0,255.47,247.0916045214908
119.0,209.12,93.83707971930926
163.0,172.1,249.15573943055824
28.0,38.14,109.31000140719698
156.0,307.38,227.8561366426111
97.0,86.81,136.68611065390542
84.0,140.35,134.96781480855498
123.0,164.97,239.71711080772548
327.0,279.67,221.45321286822946
291.0,217.85,259.6300431905365
146.0,164.54,204.8768313361652
118.0,218.39,237.87113360508192
237.0,276.97,225.7622190901584
186.0,170.42,161.630785151714
287.0,186.79,248.63796471153
153.0,281.93,269.1637702718908
128.0,251.45,253.30181998658918
198.0,183.45,210.41664583624515
584.0,241.5,250.7147922687327
202.0,134.86,145.12236742374262
80.0,67.9,207.1444502181621
770.0,254.64,250.14030897199882
15478.0,280.09,239.21461628281213
169.0,247.68,267.1364991531718
68.0,72.12,207.96604553975885
83.0,116.82,108.21678392288777
89.0,60.03,88.02403970657724
95.0,113.89,150.10026800834385
243.0,351.42,220.98872225270497
117.0,113.9,195.38699792505213
66.0,64.85,149.9820647637025
222.0,327.16,186.35764316995846
500.0,409.03,264.3203781915745
73.0,156.03,159.94819812942296
59.0,56.47,106.96882551771887
56.0,54.12,172.40850790362128
281.0,332.99,284.6100031368278
401.0,530.25,291.6848451529768
124.0,125.92,197.06456868842542
106.0,98.86,762.6367701380696
156.0,182.78,167.87545331312504
183.0,186.69,275.0791455403305
113.0,59.6,134.87644633858872
145.0,221.55,191.7831546737234
114.0,187.02,259.22642918775273
244.0,131.9,160.6954970131119
571.0,480.85,239.1486616518996
72.0,124.95,235.79106131837761
180.0,150.21,218.74327106498458
